Company,Country,Industry,Year,Rank,Revenue,Profits,Assets,Employees
China Railway Construction,China,Engineering & Construction,2024,43,160847.4,1701.0,234976.9,"336,433"
China Baowu Steel Group,China,Metals,2024,44,157216.3,2493.8,191964.1,"258,697"
Citigroup,U.S.,Banks: Commercial and Savings,2024,45,156820.0,9228.0,2411834.0,"237,925"
Centene,U.S.,Health Care: Insurance and Managed Care,2024,46,153999.0,2702.0,84641.0,"67,700"
JD.com,China,Internet Services and Retailing,2024,47,153217.4,3413.8,88613.1,"517,124"
Home Depot,U.S.,Specialty Retailers,2024,48,152669.0,15143.0,76530.0,"463,100"
Electricité de France,France,Utilities,2024,49,151040.2,10827.9,402929.1,"171,862"
Marathon Petroleum,U.S.,Petroleum Refining,2024,50,150307.0,9681.0,85987.0,"18,200"
Kroger,U.S.,Food & Drug Stores,2024,51,150039.0,2164.0,50505.0,"414,000"
Phillips 66,U.S.,Petroleum Refining,2024,52,149890.0,7015.0,75501.0,"14,000"
Ping An Insurance,China,"Insurance: Life, Health (stock)",2024,53,145759.1,12100.9,1631972.9,"288,751"
Sinochem Holdings,China,Chemicals,2024,54,143240.0,-3666.0,223940.0,"203,727"
China Mobile Communications,China,Telecommunications,2024,55,142832.4,15253.4,338346.6,"453,394"
China National Offshore Oil,China,"Mining, Crude-Oil Production",2024,56,141731.8,14559.2,225842.1,"82,560"
Honda Motor,Japan,Motor Vehicles & Parts,2024,57,141348.5,7660.6,196892.9,"194,993"
Fannie Mae,U.S.,Diversified Financials,2024,58,141240.0,17408.0,4325437.0,"8,100"
China Life Insurance,China,"Insurance: Life, Health (stock)",2024,59,139615.9,-841.2,954017.3,"176,625"
Walgreens Boots Alliance,U.S.,Food & Drug Stores,2024,60,139081.0,-3080.0,96628.0,"268,500"
Valero Energy,U.S.,Petroleum Refining,2024,61,139001.0,8835.0,63056.0,"9,897"
Banco Santander,Spain,Banks: Commercial and Savings,2024,62,137244.8,11973.8,1984826.6,"207,206"
China Communications Construction,China,Engineering & Construction,2024,63,136670.7,1672.3,361452.7,"219,034"
BNP Paribas,France,Banks: Commercial and Savings,2024,64,136076.2,11864.6,2862269.7,"182,656"
Mitsubishi,Japan,Trading,2024,65,135389.8,6670.2,155135.4,"80,037"
Meta Platforms,U.S.,Internet Services and Retailing,2024,66,134902.0,39098.0,229623.0,"67,317"
HSBC Holdings,Britain,Banks: Commercial and Savings,2024,67,134901.0,23533.0,3038677.0,"220,861"
Verizon Communications,U.S.,Telecommunications,2024,68,133974.0,11614.0,380255.0,"105,400"
China Minmetals,China,Metals,2024,69,132019.7,766.0,159608.7,"175,524"
Alibaba Group,China,Internet Services and Retailing,2024,70,131337.9,11165.1,244426.0,"204,891"
CITIC Group,China,Diversified Financials,2024,71,131242.3,4124.6,1617680.9,"213,290"
China Resources,China,Diversified Financials,2024,72,126169.5,3797.5,367033.5,"394,112"
Hyundai Motor,South Korea,Motor Vehicles & Parts,2024,73,124576.7,9158.6,218047.7,"73,502"
AT&T,U.S.,Telecommunications,2024,74,122428.0,14400.0,407060.0,"150,470"
Shandong Energy Group,China,"Mining, Crude-Oil Production",2024,75,122383.2,829.6,141176.3,"214,409"
Comcast,U.S.,Telecommunications,2024,76,121572.0,15388.0,264811.0,"186,000"
Deutsche Telekom,Germany,Telecommunications,2024,77,121046.2,19229.9,320637.3,"199,652"
China Southern Power Grid,China,Utilities,2024,78,118813.5,2342.2,173039.2,"268,471"
Wells Fargo,U.S.,Banks: Commercial and Savings,2024,80,115340.0,19142.0,1932468.0,"226,000"
Hengli Group,China,Textiles,2024,81,114664.5,980.8,52686.3,"173,250"
Allianz,Germany,"Insurance: Life, Health (stock)",2024,82,113517.7,9233.3,1085900.2,"157,883"
China Post Group,China,"Mail, Package, and Freight Delivery",2024,83,112778.5,5884.5,2310571.9,"728,776"
China Energy Investment,China,Energy,2024,84,112048.7,6339.1,294883.2,"309,037"
Xiamen C&D,China,Trading,2024,85,110665.6,1057.6,125003.2,"62,740"
Reliance Industries,India,Petroleum Refining,2024,86,108877.9,8412.5,210698.9,"347,000"
Goldman Sachs Group,U.S.,Banks: Commercial and Savings,2024,87,108418.0,8516.0,1641594.0,"45,300"
Freddie Mac,U.S.,Diversified Financials,2024,88,108050.0,10538.0,3280976.0,"8,020"
Target,U.S.,General Merchandisers,2024,90,107412.0,4138.0,55356.0,"415,000"
Equinor,Norway,Petroleum Refining,2024,91,107174.0,11885.0,143580.0,"23,449"
Humana,U.S.,Health Care: Insurance and Managed Care,2024,92,106374.0,2489.0,47065.0,"67,600"
SAIC Motor,China,Motor Vehicles & Parts,2024,93,105195.7,1992.6,141825.7,"149,505"
State Farm Insurance,U.S.,Insurance: Property and Casualty (Mutual),2024,94,104198.6,-6272.3,339484.7,"65,054"
Life Insurance Corp. of India,India,"Insurance: Life, Health (stock)",2024,95,103547.6,4944.0,637867.0,"98,463"
Nestlé,Switzerland,Food Consumer Products,2024,96,103505.2,12475.4,150422.0,"270,000"
Enel,Italy,Utilities,2024,97,103311.4,3716.7,215621.8,"61,055"
ENI,Italy,Petroleum Refining,2024,98,102501.7,5157.7,157506.1,"33,142"
Petrobras,Brazil,Petroleum Refining,2024,99,102409.0,24884.0,217067.0,"46,730"
SK,South Korea,Petroleum Refining,2024,100,101968.8,-594.8,159770.8,"114,950"
E.ON,Germany,Energy,2024,101,101280.1,558.9,125365.6,"72,242"
Gazprom,Russia,Energy,2024,102,100252.5,-7383.4,320303.3,"492,200"
Huawei Investment & Holding,China,Network and Other Communications Equipment,2024,103,99470.3,12274.4,178026.6,"207,000"
Société Générale,France,Banks: Commercial and Savings,2024,104,99163.4,2695.1,1716418.2,"124,089"
Bosch Group,Germany,Motor Vehicles & Parts,2024,105,99020.7,2271.3,119648.8,"429,416"
COFCO,China,Trading,2024,106,97765.1,1270.3,102941.0,"111,630"
Itochu,Japan,Trading,2024,107,97074.1,5547.5,95818.7,"136,334"
PowerChina,China,Engineering & Construction,2024,108,97034.9,775.9,198668.8,"184,567"
Pemex,Mexico,"Mining, Crude-Oil Production",2024,109,96978.8,457.1,136067.6,"128,616"
Tesla,U.S.,Motor Vehicles & Parts,2024,110,96773.0,14997.0,106618.0,"140,473"
Morgan Stanley,U.S.,Banks: Commercial and Savings,2024,111,96194.0,9087.0,1193693.0,"80,006"
Sinopharm,China,Wholesalers: Health Care,2024,112,96072.2,1149.5,82842.7,"202,426"
Brookfield,Canada,Diversified Financials,2024,113,95924.0,1130.0,490095.0,"240,000"
Royal Ahold Delhaize,Netherlands,Food & Drug Stores,2024,114,95834.8,2025.9,52817.5,"232,000"
Johnson & Johnson,U.S.,Pharmaceuticals,2024,115,95195.0,35153.0,167558.0,"131,900"
Indian Oil,India,Petroleum Refining,2024,116,94273.0,5042.3,57878.1,"31,942"
Archer Daniels Midland,U.S.,Food Production,2024,117,93935.0,3483.0,54631.0,"41,008"
Crédit Agricole,France,Banks: Commercial and Savings,2024,118,93358.1,6862.6,2418155.5,"75,125"
Christian Dior,France,Apparel,2024,119,93136.5,6815.0,155592.0,"197,141"
NTT,Japan,Telecommunications,2024,120,92539.7,8853.1,195769.2,"338,467"
Mitsui,Japan,Trading,2024,121,92196.4,7359.7,111754.4,"53,602"
Carrefour,France,Food & Drug Stores,2024,122,91790.6,1793.5,62040.0,"305,333"
PepsiCo,U.S.,Food Consumer Products,2024,123,91471.0,9074.0,100495.0,"318,000"
United Parcel Service,U.S.,"Mail, Package, and Freight Delivery",2024,124,90958.0,6708.0,70857.0,"382,550"
PTT,Thailand,Petroleum Refining,2024,125,90418.7,3221.1,100741.3,"30,772"
AXA,France,"Insurance: Life, Health (stock)",2024,126,90405.8,7771.7,711783.7,"94,705"
FedEx,U.S.,"Mail, Package, and Freight Delivery",2024,127,90155.0,3972.0,87143.0,"423,228"
Sony,Japan,"Electronics, Electrical Equip.",2024,128,90091.8,6715.5,225548.8,"113,000"
China FAW Group,China,Motor Vehicles & Parts,2024,129,89485.0,2864.2,94499.6,"119,658"
Engie,France,Energy,2024,130,89257.7,2387.0,214976.8,"97,297"
Walt Disney,U.S.,Entertainment,2024,131,88898.0,2354.0,205579.0,"199,125"
Orlen,Poland,Petroleum Refining,2024,132,88717.6,4921.8,67205.5,"66,554"
Dell Technologies,U.S.,"Computers, Office Equipment",2024,133,88425.0,3211.0,82089.0,"120,000"
DHL Group,Germany,"Mail, Package, and Freight Delivery",2024,134,88385.3,3975.1,73795.0,"551,233"
China Telecommunications,China,Telecommunications,2024,135,87961.5,2150.8,151916.7,"391,691"
Nissan Motor,Japan,Motor Vehicles & Parts,2024,136,87773.5,2952.0,131299.8,"141,855"
Royal Bank of Canada,Canada,Banks: Commercial and Savings,2024,137,87498.7,11019.0,1444726.9,"91,398"
Zhejiang Rongsheng Holding Group,China,Chemicals,2024,138,86535.6,74.6,57831.0,"23,373"
Lowe's,U.S.,Specialty Retailers,2024,139,86377.0,7726.0,41795.0,"226,000"
Tesco,Britain,Food & Drug Stores,2024,140,86231.3,1486.9,59497.9,"225,659"
Tencent Holdings,China,Internet Services and Retailing,2024,141,86028.3,16275.2,222216.2,"105,417"
Xiamen ITG Holding Group,China,Trading,2024,142,85818.8,178.9,50244.4,"34,289"
BYD,China,Motor Vehicles & Parts,2024,143,85082.0,4243.5,95740.6,"703,504"
Nippon Life Insurance,Japan,"Insurance: Life, Health (Mutual)",2024,144,83090.0,2854.0,645391.8,"85,740"
Siemens,Germany,Industrial Machinery,2024,145,82931.9,8476.7,153510.1,"320,000"
Japan Post Holdings,Japan,"Insurance: Life, Health (stock)",2024,146,82905.5,1859.1,1975196.1,"221,387"
Aviation Industry Corp. of China,China,Aerospace & Defense,2024,147,82654.1,1644.1,187461.3,"384,000"
Mitsubishi UFJ Financial Group,Japan,Banks: Commercial and Savings,2024,148,82270.3,10314.8,2669641.2,"145,412"
Procter & Gamble,U.S.,Household and Personal Products,2024,149,82006.0,14653.0,120829.0,"107,000"
Wuchan Zhongda Group,China,Trading,2024,150,81952.4,510.9,23406.5,"26,354"
Seven & I Holdings,Japan,Food & Drug Stores,2024,151,80124.6,1568.9,70788.7,"117,540"
Albertsons,U.S.,Food & Drug Stores,2024,152,79237.7,1296.0,26221.1,"196,650"
ENEOS Holdings,Japan,Petroleum Refining,2024,153,79020.5,1993.5,67031.8,"50,269"
Bank of Communications,China,Banks: Commercial and Savings,2024,154,78757.1,13098.6,1980962.0,"94,275"
Energy Transfer,U.S.,Pipelines,2024,155,78586.0,3935.0,113698.0,"13,786"
U.S. Postal Service,U.S.,"Mail, Package, and Freight Delivery",2024,156,78383.0,-6478.0,45289.0,"582,781"
Jiangxi Copper,China,Metals,2024,157,78243.2,371.2,31154.0,"32,746"
People's Insurance Co. of China,China,Insurance: Property and Casualty (Stock),2024,158,78181.7,3153.2,219318.9,"175,881"
Boeing,U.S.,Aerospace & Defense,2024,159,77794.0,-2222.0,137012.0,"171,000"
China North Industries Group,China,Aerospace & Defense,2024,160,76506.9,1933.0,78674.5,"216,528"
Pacific Construction Group,China,Engineering & Construction,2024,161,76433.0,5035.3,59040.1,"293,125"
Kia,South Korea,Motor Vehicles & Parts,2024,162,76419.4,6720.2,62240.7,"52,871"
Sysco,U.S.,Wholesalers: Food and Grocery,2024,163,76324.7,1770.1,22821.2,"71,750"
Dai-ichi Life Holdings,Japan,"Insurance: Life, Health (stock)",2024,164,76304.8,2219.4,446636.1,"59,495"
Pertamina,Indonesia,Petroleum Refining,2024,165,75787.8,4441.4,91123.6,"40,415"
Vinci,France,Engineering & Construction,2024,166,75550.9,5083.1,130945.4,"279,426"
Petronas,Malaysia,Energy,2024,167,75409.6,16320.1,168475.2,"54,105"
Toronto-Dominion Bank,Canada,Banks: Commercial and Savings,2024,168,75063.3,7995.6,1410162.9,"103,257"
Shaanxi Coal & Chemical Industry,China,"Mining, Crude-Oil Production",2024,170,74776.7,1113.7,100857.7,"140,142"
Shenghong Holding Group,China,Chemicals,2024,171,74700.8,548.5,31761.6,"56,863"
BASF,Germany,Chemicals,2024,172,74487.2,243.2,85481.6,"111,991"
China Poly Group,China,Real estate,2024,173,73998.5,988.2,254160.5,"102,834"
Groupe BPCE,France,Banks: Commercial and Savings,2024,174,73774.7,3031.3,1705477.1,"97,835"
Shandong Weiqiao Pioneering Group,China,Textiles,2024,175,73484.5,1192.3,39326.0,"97,281"
JBS,Brazil,Food Production,2024,176,72863.2,-212.5,42483.1,"272,565"
Alimentation Couche-Tard,Canada,Specialty Retailers,2024,177,71856.7,3090.9,29049.2,"128,000"
State Bank of India,India,Banks: Commercial and Savings,2024,178,71844.0,8106.0,807979.1,"232,296"
China Merchants Bank,China,Banks: Commercial and Savings,2024,179,71514.6,20708.7,1553788.9,"116,529"
Oil & Natural Gas,India,"Mining, Crude-Oil Production",2024,180,71466.1,5947.6,85215.3,"36,549"
Guangzhou Automobile Industry Group,China,Motor Vehicles & Parts,2024,181,71386.1,345.4,59258.7,"110,847"
UBS Group,Switzerland,Banks: Commercial and Savings,2024,182,71245.0,27849.0,1717246.0,"112,842"
Airbus,Netherlands,Aerospace & Defense,2024,183,70751.0,4096.1,131291.1,"147,893"
Toyota Tsusho,Japan,Trading,2024,184,70498.4,2293.3,46686.9,"69,517"
Zhejiang Geely Holding Group,China,Motor Vehicles & Parts,2024,185,70356.8,812.6,94120.3,"143,994"
Taiwan Semiconductor Manufacturing,Taiwan,Semiconductors and Other Electronic Components,2024,186,69415.8,27350.4,180507.6,"76,478"
XMXYG,China,Trading,2024,187,69286.9,14.5,46717.0,"33,214"
RTX,U.S.,Aerospace & Defense,2024,188,68920.0,3195.0,161869.0,"185,000"
Itau Unibanco Holding,Brazil,Banks: Commercial and Savings,2024,189,68455.0,6630.1,524123.6,"95,702"
ArcelorMittal,Luxembourg,Metals,2024,190,68275.0,919.0,93917.0,"126,756"
General Electric (GE Aerospace),U.S.,Industrial Machinery,2024,191,67954.0,9481.0,163045.0,"125,000"
Beijing Automotive Group,China,Motor Vehicles & Parts,2024,192,67852.2,328.1,65757.0,"90,000"
Lockheed Martin,U.S.,Aerospace & Defense,2024,193,67571.0,6920.0,52456.0,"122,000"
Koç Holding,Turkey,Energy,2024,194,67482.7,3037.6,96811.7,"119,306"
American Express,U.S.,Diversified Financials,2024,195,67364.0,8374.0,261108.0,"74,600"
Hitachi,Japan,"Electronics, Electrical Equip.",2024,196,67313.8,4081.5,80817.9,"268,655"
Roche Group,Switzerland,Pharmaceuticals,2024,197,67269.8,12797.1,107533.6,"103,605"
Wilmar International,Singapore,Food Production,2024,198,67155.3,1524.8,61808.7,"114,123"
Caterpillar,U.S.,Construction and Farm Machinery,2024,199,67060.0,10335.0,87476.0,"113,200"
Banco Bilbao Vizcaya Argentaria,Spain,Banks: Commercial and Savings,2024,200,66978.1,8669.0,856591.6,"121,486"
Korea Electric Power,South Korea,Utilities,2024,201,66977.2,-3692.4,185048.1,"48,696"
MetLife,U.S.,"Insurance: Life, Health (stock)",2024,202,66905.0,1578.0,687584.0,"45,000"
AEON,Japan,Food & Drug Stores,2024,203,66727.0,312.2,86485.8,"381,084"
Deutsche Bank,Germany,Banks: Commercial and Savings,2024,205,65978.1,6845.3,1454899.5,"90,130"
China Vanke,China,Real estate,2024,206,65789.5,1718.1,212019.5,"131,097"
HCA Healthcare,U.S.,Health Care: Medical Facilities,2024,207,64968.0,5242.0,56211.0,"265,000"
Sumitomo Mitsui Financial Group,Japan,Banks: Commercial and Savings,2024,208,64718.3,6662.7,1952365.4,"120,373"
LG Electronics,South Korea,"Electronics, Electrical Equip.",2024,209,64490.5,545.8,46502.9,"74,000"
Unilever,Britain,Household and Personal Products,2024,210,64435.5,7012.8,83130.1,"128,377"
Accenture,Ireland,Information Technology Services,2024,211,64111.8,6871.6,51245.3,"732,819"
Barclays,Britain,Banks: Commercial and Savings,2024,212,63800.6,6535.9,1883108.6,"92,400"
Jinneng Holding Group,China,"Mining, Crude-Oil Production",2024,213,63639.8,993.6,159091.1,"439,051"
Aluminum Corp. of China,China,Metals,2024,214,63595.4,876.5,86868.0,"124,995"
Munich Re Group,Germany,Insurance: Property and Casualty (Stock),2024,215,63353.3,4979.4,302400.0,"42,812"
Sberbank,Russia,Banks: Commercial and Savings,2024,216,63329.9,17743.5,583489.4,"210,753"
Banco do Brasil,Brazil,Banks: Commercial and Savings,2024,217,63322.2,5980.4,443906.4,"86,220"
Progressive,U.S.,Insurance: Property and Casualty (Stock),2024,218,62108.5,3902.4,88690.8,"61,432"
IBM,U.S.,Information Technology Services,2024,219,61860.0,7502.0,135241.0,"296,600"
Nippon Steel,Japan,Metals,2024,220,61359.1,3801.2,70854.6,"121,236"
Deere,U.S.,Construction and Farm Machinery,2024,221,61251.0,10166.0,104087.0,"82,956"
StoneX Group,U.S.,Diversified Financials,2024,223,60856.1,238.5,21938.7,"4,137"
Zurich Insurance Group,Switzerland,Insurance: Property and Casualty (Stock),2024,224,60645.0,4351.0,361382.0,"59,593"
Bouygues,France,Engineering & Construction,2024,225,60599.9,1124.3,67093.0,"201,498"
Mizuho Financial Group,Japan,Banks: Commercial and Savings,2024,226,60503.6,4698.0,1842826.0,"52,307"
ING Group,Netherlands,Banks: Commercial and Savings,2024,228,60401.0,4475.6,1082724.8,"59,434"
Merck,U.S.,Pharmaceuticals,2024,229,60115.0,365.0,106675.0,"71,000"
Bunge Global,U.S.,Food Production,2024,230,59540.0,2243.0,25372.0,"23,000"
Anheuser-Busch InBev,Belgium,Beverages,2024,231,59380.0,5341.0,219340.0,"154,540"
Industrial Bank,China,Banks: Commercial and Savings,2024,232,59152.3,10893.3,1431193.6,"66,569"
POSCO Holdings,South Korea,Metals,2024,233,58999.2,1300.3,78342.4,"44,501"
Panasonic Holdings,Japan,"Electronics, Electrical Equip.",2024,234,58787.4,3072.0,62235.1,"228,420"
ConocoPhillips,U.S.,"Mining, Crude-Oil Production",2024,235,58574.0,10957.0,95924.0,"9,900"
Pfizer,U.S.,Pharmaceuticals,2024,236,58496.0,2119.0,226501.0,"88,000"
Delta Air Lines,U.S.,Airlines,2024,237,58048.0,4609.0,73644.0,"103,000"
China Huaneng Group,China,Energy,2024,238,57890.8,1632.1,219905.8,"124,623"
China Energy Engineering Group,China,Engineering & Construction,2024,239,57708.1,600.0,112892.8,"119,182"
Dongfeng Motor,China,Motor Vehicles & Parts,2024,240,57595.9,-391.6,71051.6,"122,658"
TD Synnex,U.S.,Wholesalers: Electronics and Office Equipment,2024,241,57555.4,626.9,29412.8,"28,000"
Publix Super Markets,U.S.,Food & Drug Stores,2024,242,57534.0,4349.0,34384.0,"253,000"
Zhejiang Hengyi Group,China,Chemicals,2024,243,57468.0,23.5,18826.8,"22,417"
Allstate,U.S.,Insurance: Property and Casualty (Stock),2024,244,57094.0,-188.0,103362.0,"53,200"
Assicurazioni Generali,Italy,"Insurance: Life, Health (stock)",2024,245,57022.6,4050.7,561752.8,"81,879"
Cisco Systems,U.S.,Network and Other Communications Equipment,2024,246,56998.0,12613.0,101852.0,"84,900"
Repsol,Spain,Petroleum Refining,2024,247,56980.5,3424.8,68072.7,"23,943"
Lenovo Group,China,"Computers, Office Equipment",2024,248,56863.8,1010.5,38751.0,"69,500"
HBIS Group,China,Metals,2024,249,56728.3,23.7,76868.2,"97,802"
Renault,France,Motor Vehicles & Parts,2024,251,56621.6,2376.2,134651.0,"105,497"
Banco Bradesco,Brazil,Banks: Commercial and Savings,2024,252,56490.5,2854.2,397255.5,"79,583"
China Electronics Technology Group,China,Aerospace & Defense,2024,253,56083.8,2563.0,92803.8,"241,097"
Nationwide,U.S.,Insurance: Property and Casualty (Mutual),2024,254,54609.4,-45.2,290615.0,"24,118"
Charter Communications,U.S.,Telecommunications,2024,255,54607.0,4557.0,147193.0,"101,100"
State Power Investment,China,Energy,2024,256,54484.6,1615.9,247045.1,"127,514"
Edeka Zentrale,Germany,Wholesalers: Food and Grocery,2024,257,54454.6,461.7,11957.2,"410,700"
Bharat Petroleum,India,Petroleum Refining,2024,258,54413.1,3245.4,24287.9,"8,511"
AbbVie,U.S.,Pharmaceuticals,2024,259,54318.0,4863.0,134711.0,"50,000"
New York Life Insurance,U.S.,"Insurance: Life, Health (Mutual)",2024,260,54317.2,804.6,408904.9,"15,384"
Intel,U.S.,Semiconductors and Other Electronic Components,2024,261,54228.0,1689.0,191572.0,"124,800"
TJX,U.S.,Specialty Retailers,2024,262,54217.0,4474.0,29747.0,"349,000"
Novartis,Switzerland,Pharmaceuticals,2024,263,54088.0,14850.0,99945.0,"76,057"
Rio Tinto Group,Britain,"Mining, Crude-Oil Production",2024,264,54041.0,10058.0,103549.0,"57,174"
Tsingshan Holding Group,China,Metals,2024,265,53980.0,1554.2,20646.7,"107,805"
Prudential Financial,U.S.,"Insurance: Life, Health (stock)",2024,266,53979.0,2488.0,721123.0,"40,366"
COSCO Shipping,China,Shipping,2024,267,53929.6,3584.4,151544.5,"106,221"
BHP Group,Australia,"Mining, Crude-Oil Production",2024,268,53817.0,12921.0,101296.0,"42,319"
HP,U.S.,"Computers, Office Equipment",2024,269,53718.0,3263.0,37004.0,"58,000"
Tata Motors,India,Motor Vehicles & Parts,2024,271,53634.9,3794.0,44475.6,"91,496"
Performance Food Group,U.S.,Wholesalers: Food and Grocery,2024,272,53354.7,397.2,12499.0,"34,825"
Iberdrola,Spain,Utilities,2024,273,53334.1,5192.3,165709.1,"41,448"
Deutsche Bahn,Germany,Railroads,2024,274,53197.9,-2566.4,85566.6,"326,781"
Idemitsu Kosan,Japan,Petroleum Refining,2024,275,53042.6,1581.1,33145.7,"16,571"
Tyson Foods,U.S.,Food Production,2024,276,52881.0,-648.0,36251.0,"139,000"
Midea Group,China,"Electronics, Electrical Equip.",2024,277,52789.6,4763.2,68477.3,"198,613"
American Airlines Group,U.S.,Airlines,2024,278,52788.0,822.0,63058.0,"132,100"
China United Network Communications,China,Telecommunications,2024,279,52632.3,1154.5,93387.4,"242,891"
Liberty Mutual Insurance Group,U.S.,Insurance: Property and Casualty (Stock),2024,280,52612.0,213.0,165208.0,"45,000"
Bank of Nova Scotia,Canada,Banks: Commercial and Savings,2024,281,52535.8,5495.0,1016565.1,"89,483"
Volvo,Sweden,Motor Vehicles & Parts,2024,282,52101.5,4696.3,66905.7,"97,440"
Intesa Sanpaolo,Italy,Banks: Commercial and Savings,2024,283,52004.4,8350.1,1064247.9,"94,368"
Saint-Gobain,France,"Building Materials, Glass",2024,284,51830.3,2917.8,63285.8,"144,422"
Shaanxi Yanchang Petroleum (Group),China,"Mining, Crude-Oil Production",2024,285,51525.9,997.3,68398.2,"130,427"
Bayer,Germany,Pharmaceuticals,2024,286,51498.4,-3179.4,128406.2,"99,723"
Tokio Marine Holdings,Japan,Insurance: Property and Casualty (Stock),2024,287,51371.9,4814.4,202320.3,"43,870"
Nike,U.S.,Apparel,2024,288,51217.0,5070.0,37531.0,"83,700"
Maersk Group,Denmark,Shipping,2024,289,51065.0,3822.0,82100.0,"105,909"
Phoenix Pharma,Germany,Wholesalers: Health Care,2024,290,50934.9,234.6,15538.0,"41,276"
Greenland Holding Group,China,Real estate,2024,291,50897.0,-1349.9,168210.2,"59,970"
Shanghai Pudong Development Bank,China,Banks: Commercial and Savings,2024,292,50864.5,5184.5,1269019.6,"63,582"
Louis Dreyfus,Netherlands,Food Production,2024,293,50624.0,1013.0,22076.0,"17,017"
ZF Friedrichshafen,Germany,Motor Vehicles & Parts,2024,295,50406.6,-33.5,43262.7,"165,938"
